id,framework,subcategory,ai_security_control,description,priority,category,implementation_effort,business_impact,threat_vector,mitigation_strategy,compliance_requirement,createdAt,updatedAt
ai-001,OWASP Top 10 for LLM Applications,LLM01:2025 Prompt Injection,Implement input validation and sanitization,"Validate and sanitize all user inputs to prevent prompt injection attacks that can manipulate LLM behavior",Critical,Input Validation,High,Critical,Prompt Injection,"Input validation, sanitization, and prompt engineering best practices",OWASP LLM Top 10,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
ai-002,OWASP Top 10 for LLM Applications,LLM02:2025 Sensitive Information Disclosure,Implement data classification and access controls,"Classify sensitive data and implement proper access controls to prevent unauthorized disclosure of sensitive information",High,Data Protection,Medium,High,Data Leakage,"Data classification, access controls, and output filtering",OWASP LLM Top 10,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
ai-003,OWASP Top 10 for LLM Applications,LLM03:2025 Supply Chain,Implement supply chain security controls,"Secure the LLM supply chain by validating models, dependencies, and third-party components",High,Supply Chain Security,High,High,Supply Chain Attacks,"Model validation, dependency scanning, and secure procurement",OWASP LLM Top 10,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
ai-004,OWASP Top 10 for LLM Applications,LLM04:2025 Data and Model Poisoning,Implement training data validation,"Validate and monitor training data to prevent poisoning attacks that can compromise model integrity",Critical,Model Security,Very High,Critical,Data Poisoning,"Training data validation, model monitoring, and adversarial testing",OWASP LLM Top 10,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
ai-005,OWASP Top 10 for LLM Applications,LLM05:2025 Improper Output Handling,Implement output validation and sanitization,"Validate and sanitize LLM outputs to prevent injection attacks and ensure safe content delivery",High,Output Security,Medium,High,Output Injection,"Output validation, content filtering, and safe rendering",OWASP LLM Top 10,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
ai-006,OWASP Top 10 for LLM Applications,LLM06:2025 Excessive Agency,Implement agency controls and monitoring,"Control and monitor LLM agency to prevent excessive autonomous actions that could cause harm",Medium,Agent Control,High,Medium,Excessive Autonomy,"Agent boundaries, monitoring, and human oversight",OWASP LLM Top 10,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
ai-007,OWASP Top 10 for LLM Applications,LLM07:2025 System Prompt Leakage,Implement prompt protection mechanisms,"Protect system prompts from leakage to prevent attackers from understanding and manipulating system behavior",Medium,Prompt Security,Low,Medium,Information Disclosure,"Prompt obfuscation, access controls, and monitoring",OWASP LLM Top 10,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
ai-008,OWASP Top 10 for LLM Applications,LLM08:2025 Vector and Embedding Weaknesses,Implement secure vector operations,"Secure vector and embedding operations to prevent attacks on semantic search and retrieval systems",High,Vector Security,Medium,High,Vector Attacks,"Secure embeddings, vector validation, and access controls",OWASP LLM Top 10,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
ai-009,OWASP Top 10 for LLM Applications,LLM09:2025 Misinformation,Implement content verification and fact-checking,"Implement mechanisms to detect and prevent misinformation generation by LLMs",Critical,Content Security,High,Critical,Misinformation,"Content verification, fact-checking, and source validation",OWASP LLM Top 10,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
ai-010,OWASP Top 10 for LLM Applications,LLM10:2025 Unbounded Consumption,Implement resource consumption controls,"Control and limit resource consumption to prevent denial of service and cost escalation",Medium,Resource Management,Low,Medium,Resource Exhaustion,"Rate limiting, resource monitoring, and cost controls",OWASP LLM Top 10,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
ai-011,CSA MAESTRO Agentic AI,Agent Security,Implement agent authentication and authorization,"Establish strong authentication and authorization mechanisms for AI agents to prevent unauthorized access",High,Agent Security,Medium,High,Unauthorized Access,"Multi-factor authentication, role-based access control, and agent identity management",CSA MAESTRO,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
ai-012,CSA MAESTRO Agentic AI,Agent Security,Implement agent communication security,"Secure inter-agent communication to prevent eavesdropping and tampering",High,Communication Security,Medium,High,Communication Attacks,"Encrypted communication, message integrity, and secure protocols",CSA MAESTRO,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
ai-013,CSA MAESTRO Agentic AI,Multi-Agent Coordination,Implement coordination security controls,"Secure multi-agent coordination to prevent conflicts and ensure safe collaboration",Medium,Coordination Security,High,Medium,Coordination Failures,"Conflict resolution, coordination protocols, and safety mechanisms",CSA MAESTRO,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
ai-014,CSA MAESTRO Agentic AI,Multi-Agent Coordination,Implement distributed decision making security,"Secure distributed decision making processes to prevent manipulation and ensure consensus",High,Decision Security,Very High,High,Decision Manipulation,"Consensus mechanisms, decision validation, and audit trails",CSA MAESTRO,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
ai-015,CSA MAESTRO Agentic AI,Autonomous Decision Making,Implement decision monitoring and oversight,"Monitor autonomous decisions to ensure they align with organizational policies and values",High,Decision Oversight,Medium,High,Unsafe Decisions,"Decision logging, policy enforcement, and human oversight",CSA MAESTRO,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
ai-016,CSA MAESTRO Agentic AI,Autonomous Decision Making,Implement decision rollback mechanisms,"Implement mechanisms to rollback or correct harmful autonomous decisions",Medium,Decision Recovery,High,Medium,Decision Errors,"Decision versioning, rollback procedures, and correction mechanisms",CSA MAESTRO,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
ai-017,CSA MAESTRO Agentic AI,Agent Communication Security,Implement secure agent discovery,"Secure agent discovery mechanisms to prevent malicious agent infiltration",Medium,Agent Discovery,Low,Medium,Malicious Agents,"Agent registry security, identity verification, and reputation systems",CSA MAESTRO,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
ai-018,CSA MAESTRO Agentic AI,Agent Communication Security,Implement message integrity verification,"Verify message integrity in agent communications to prevent tampering",High,Message Security,Low,High,Message Tampering,"Digital signatures, message authentication, and integrity checks",CSA MAESTRO,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
ai-019,NIST AI RMF,Govern,Establish AI governance framework,"Develop comprehensive governance framework for AI system development and deployment",High,Governance,High,High,Governance Gaps,"Policy development, oversight structures, and accountability mechanisms",NIST AI RMF,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
ai-020,NIST AI RMF,Govern,Implement AI risk management policies,"Establish policies and procedures for managing AI-related risks throughout the system lifecycle",High,Risk Management,Medium,High,Risk Exposure,"Risk assessment procedures, mitigation strategies, and monitoring systems",NIST AI RMF,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z
